rank_by_dollar,naics_code,naics_title,psc_code,psc_name,total_usd,n_actions,median_usd,top_winner,top_winner_share,what_was_done,vertical,work_type,equipment_intensity,regime,confidence
197,541714,Research and Development in Biotechnology (except Nanobiotechnology),AN42,HEALTH R&D SERVICES; HEALTH CARE - OTHER; APPLIED RESEARCH,172734822.76,41,500000.0,"LEIDOS, INC.",0.463,Biotech healthcare applied research,Research & Development,RnD,low,redundant,high
198,561422,Telemarketing Bureaus and Other Contact Centers,R499,SUPPORT- PROFESSIONAL: OTHER,172087840.46,6,5884117.91,KECH INC,0.5,Contact-center firm providing other professional services,Professional & Management Services,services_labor,low,naics_carries,low
199,541715,"Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology)",Q999,MEDICAL- OTHER,171244982.7,12,12687359.02,"KBR WYLE SERVICES, LLC",1.0,R&D firm providing other medical services (KBR),Healthcare & Life Sciences,services_labor,low,emergent,medium
200,541519,Other Computer Related Services,DJ01,IT AND TELECOM - SECURITY AND COMPLIANCE SUPPORT SERVICES (LABOR),171188260.82,105,510588.59,"ASTRION GROUP, LLC",0.171,IT security and compliance support labor,Information Technology & Software,services_labor,low,psc_carries,high
201,541512,Computer Systems Design Services,DE01,"IT and Telecom - End User: Help Desk; Tier 1-2, Workspace, Print, Output, Productivity Tools (Labor)",170198471.14,59,881015.0,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,0.22,End-user/help-desk IT support services labor,Information Technology & Software,services_labor,low,psc_carries,high
202,541519,Other Computer Related Services,R408,SUPPORT- PROFESSIONAL: PROGRAM MANAGEMENT/SUPPORT,168840611.95,144,508277.52,"GARTNER, INC.",0.118,IT services firms providing program management support (Gartner),Information Technology & Software,services_labor,low,naics_carries,medium
203,561210,Facilities Support Services,M1HB,OPERATION OF GOVERNMENT-OWNED GOVERNMENT-OPERATED (GOGO) R&D FACILITIES,166670366.49,114,577500.86,"AMENTUM TECHNOLOGY, INC.",0.632,Contractor operation of government-operated R&D facilities,Research & Development,services_labor,medium,psc_carries,high
204,922190,"Other Justice, Public Order, and Safety Activities",R499,SUPPORT- PROFESSIONAL: OTHER,166545329.71,8,10366644.62,"THE GEO GROUP, INC.",0.5,Detention/public-safety services (GEO Group),Government & Public Administration,services_labor,low,naics_carries,medium
205,623110,Nursing Care Facilities (Skilled Nursing Facilities),Q402,"NURSING HOME, LONG-TERM & ADULT DAY CARE SERVICES",164782763.86,428,194192.05,CORYELL COUNTY MEMORIAL HOSPITAL AUTHORITY,0.03,Skilled nursing home/long-term care services,Healthcare & Life Sciences,services_labor,low,redundant,high
206,236220,Commercial and Institutional Building Construction,Y1FA,CONSTRUCTION OF FAMILY HOUSING FACILITIES,164206398.95,6,260601.0,TUTOR PERINI CORPORATION,0.333,New-build construction of family housing facilities,Construction,construct,high,psc_carries,high
207,311513,Cheese Manufacturing,8910,DAIRY FOODS AND EGGS,164183285.69,80,1054731.0,ASSOCIATED MILK PRODUCERS INC,0.188,Cheese/dairy products manufactured for food supply,"Food, Agriculture & Beverage",manufacture,medium,redundant,high
208,334511,"Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing",R408,SUPPORT- PROFESSIONAL: PROGRAM MANAGEMENT/SUPPORT,161679201.03,9,350000.0,LOCKHEED MARTIN CORPORATION,0.889,Navigation-systems OEM providing program management support,Aerospace & Defense,services_labor,low,naics_carries,medium
209,561421,Telephone Answering Services,DA01,IT AND TELECOM - BUSINESS APPLICATION/APPLICATION DEVELOPMENT SUPPORT SERVICES (LABOR),161599443.45,1,161599443.45,"PECKHAM VOCATIONAL INDUSTRIES, INC.",1.0,Answering-service firm providing app-development support labor,Information Technology & Software,services_labor,low,psc_carries,low
210,511210,SOFTWARE PUBLISHERS,DE01,"IT and Telecom - End User: Help Desk; Tier 1-2, Workspace, Print, Output, Productivity Tools (Labor)",159870829.99,20,248395.17,"MINBURN TECHNOLOGY GROUP, LLC",0.55,Software publisher providing end-user/help-desk support,Information Technology & Software,services_labor,low,psc_carries,medium
211,236220,Commercial and Institutional Building Construction,Y1BZ,CONSTRUCTION OF OTHER AIRFIELD STRUCTURES,156699806.93,38,49990.46,"CLARK CONSTRUCTION GROUP - CALIFORNIA, LP",0.421,New-build construction of airfield structures,Construction,construct,high,psc_carries,high
212,336413,Other Aircraft Parts and Auxiliary Equipment Manufacturing,1510,"AIRCRAFT, FIXED WING",155389590.18,28,452710.21,BELL BOEING JOINT PROJECT OFFICE,0.893,Fixed-wing aircraft supplied by parts OEM (Bell Boeing),Aerospace & Defense,manufacture,high,emergent,medium
213,336411,Aircraft Manufacturing,2840,"GAS TURBINES AND JET ENGINES, AIRCRAFT, PRIME MOVING; AND COMPONENTS",152933311.93,47,135500.0,GENERAL ELECTRIC COMPANY,0.681,Aircraft gas turbine/jet engines manufactured (GE),Aerospace & Defense,manufacture,high,emergent,high
214,423450,"Medical, Dental, and Hospital Equipment and Supplies Merchant Wholesalers",6525,"IMAGING EQUIPMENT AND SUPPLIES: MEDICAL, DENTAL, VETERINARY",152270810.55,5137,918.0,ZOLL MEDICAL CORPORATION,0.334,Medical X-ray/imaging equipment wholesale (Zoll),Wholesale & Supply,distribute_resell,medium,redundant,high
215,336611,Ship Building and Repairing,1901,AIRCRAFT CARRIERS,150099946.91,85,50803.0,HUNTINGTON INGALLS INC,1.0,Aircraft carrier construction/work by shipbuilder (HII),Aerospace & Defense,manufacture,high,redundant,high
216,541513,Computer Facilities Management Services,R499,SUPPORT- PROFESSIONAL: OTHER,149370959.42,36,59491.2,ELB SERVICES LLC,0.667,Computer facilities management other professional services,Information Technology & Software,services_labor,low,naics_carries,medium
217,334517,Irradiation Apparatus Manufacturing,6665,HAZARD-DETECTING INSTRUMENTS AND APPARATUS,148989807.57,16,9740251.0,"LEIDOS, INC.",0.562,Hazard-detecting/radiac instruments manufactured (Leidos),Electronics & Instruments,manufacture,high,emergent,medium
218,541715,"Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology)",R408,SUPPORT- PROFESSIONAL: PROGRAM MANAGEMENT/SUPPORT,148976427.52,351,98250.71,CGI FEDERAL INC.,0.436,R&D firms providing program management support,Professional & Management Services,services_labor,low,naics_carries,medium
219,311615,Poultry Processing,8905,"MEAT, POULTRY, AND FISH",147220629.15,70,833040.0,TYSON FOODS INC.,0.2,Processed poultry/meat manufactured for food supply (Tyson),"Food, Agriculture & Beverage",manufacture,medium,redundant,high
220,541191,Title Abstract and Settlement Offices,R411,SUPPORT- PROFESSIONAL: REAL PROPERTY APPRAISALS,147149082.0,21,14875.0,"LAMCO RESOURCES, LLC",0.429,Real property title research/appraisal services,Real Estate,services_labor,low,redundant,high
221,524292,Pharmacy Benefit Management and Other Third Party Administration of Insurance and Pension Funds,R499,SUPPORT- PROFESSIONAL: OTHER,145862915.92,12,1806117.79,"SIGNATURE CHOICE II, LLC",0.417,PBM/insurance-admin firm providing other professional services,Healthcare & Life Sciences,services_labor,low,naics_carries,medium
222,611430,Professional and Management Development Training,AF15,"EDUCATION, TRAINING, EMPLOYMENT, & SOCIAL SVCS R&D SVCS; EDUC SVCS R&D; R&D FACILITIES & MAJ EQUIP",145289905.21,3,43789905.21,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,1.0,Education/training R&D and facilities support,Education & Training,RnD,low,emergent,medium
223,561110,Office Administrative Services,R699,SUPPORT- ADMINISTRATIVE: OTHER,144530361.03,170,138131.83,"1 - 8A ISO9001 FEDSYNC-BFS, LLC",0.124,Office administrative support services,Professional & Management Services,services_labor,low,redundant,high
224,541511,Custom Computer Programming Services,DF01,IT AND TELECOM - IT MANAGEMENT SUPPORT SERVICES (LABOR),142875814.21,115,556782.95,AGILE5 TECHNOLOGIES INC,0.183,Software firms providing IT management support labor,Information Technology & Software,services_labor,low,psc_carries,high
225,541330,Engineering Services,C211,"ARCHITECT AND ENGINEERING- GENERAL: LANDSCAPING, INTERIOR LAYOUT, AND DESIGNING",140689242.83,373,114646.0,"CROFT AND ASSOCIATES, INC.",0.059,Architect-engineering design (landscaping/interior),Engineering & Architecture,services_labor,low,redundant,high
226,621511,Medical Laboratories,Q301,REFERENCE LABORATORY TESTING,140657612.42,861,20000.0,QUEST DIAGNOSTICS INCORPORATED,0.676,Clinical reference laboratory diagnostic testing (Quest),Healthcare & Life Sciences,services_labor,low,redundant,high
227,336611,Ship Building and Repairing,1910,"TRANSPORT VESSELS, PASSENGER AND TROOP",139518266.2,14,1013577.64,GREGORY POOLE EQUIPMENT CO,0.143,Passenger/troop transport vessel build/supply,Aerospace & Defense,manufacture,high,redundant,medium
228,541330,Engineering Services,L010,TECHNICAL REPRESENTATIVE- WEAPONS,139380084.0,9,3250000.0,LOCKHEED MARTIN CORPORATION,0.556,Weapons technical representative services (Lockheed),Aerospace & Defense,services_labor,low,emergent,medium
229,236220,Commercial and Institutional Building Construction,Y1EB,CONSTRUCTION OF MAINTENANCE BUILDINGS,138788278.16,23,374449.0,SERGENTS MECHANICAL SYSTEMS INC,0.13,New-build construction of maintenance buildings,Construction,construct,high,psc_carries,high
230,311999,All Other Miscellaneous Food Manufacturing,8945,"FOOD, OILS AND FATS",138583105.63,805,28350.0,SHAVER FOODS LLC,0.145,Edible oils/fats and misc foods manufactured/supplied,"Food, Agriculture & Beverage",distribute_resell,low,naics_carries,medium
231,561210,Facilities Support Services,M1FF,OPERATION OF PENAL FACILITIES,138316411.53,16,4020053.99,"THE GEO GROUP, INC.",0.688,Contractor operation of penal/detention facilities (GEO),Government & Public Administration,services_labor,low,psc_carries,high
232,518210,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",DH01,"IT AND TELECOM - PLATFORM SUPPORT SERVICES: DATABASE, MAINFRAME, MIDDLEWARE (LABOR)",137350713.3,8,706359.46,INTERNATIONAL BUSINESS MACHINES CORPORATION,0.375,Platform/database support services labor (IBM),Information Technology & Software,services_labor,low,psc_carries,high
233,541199,All Other Legal Services,R418,SUPPORT- PROFESSIONAL: LEGAL,136359323.36,298,36875.6,SIMPLIFILE LC,0.101,Paralegal/legal document e-filing services (Simplifile),Professional & Management Services,services_labor,low,redundant,high
234,481211,Nonscheduled Chartered Passenger Air Transportation,V221,TRANSPORTATION/TRAVEL/RELOCATION- TRAVEL/LODGING/RECRUITMENT: PASSENGER AIR CHARTER,135596618.54,409,40500.0,TEMSCO HELICOPTERS INC,0.059,Passenger air charter transportation services,Transportation & Logistics,services_labor,high,redundant,high
235,541330,Engineering Services,AR15,"SPACE R&D SVCS; SPACE FLIGHT, RESEARCH & SUPPORTING ACTIVITIES; R&D FACILITIES & MAJ EQUIP",135043995.0,11,5000000.0,THE BOEING COMPANY,0.727,Space flight R&D facilities/major equipment (Boeing),Aerospace & Defense,RnD,high,emergent,medium
236,236220,Commercial and Institutional Building Construction,Y1DZ,CONSTRUCTION OF OTHER HOSPITAL BUILDINGS,133591411.21,56,191379.0,"DPR-RQ CONSTRUCTION, LLC",0.179,New-build construction of other hospital buildings,Construction,construct,high,psc_carries,high
237,561499,All Other Business Support Services,R604,SUPPORT- ADMINISTRATIVE: MAILING/DISTRIBUTION,132729761.1,174,8485.2,PITNEY BOWES INC.,0.77,Mailing and distribution services (Pitney Bowes),Professional & Management Services,services_labor,low,redundant,high
238,541519,Other Computer Related Services,DE01,"IT and Telecom - End User: Help Desk; Tier 1-2, Workspace, Print, Output, Productivity Tools (Labor)",132131697.56,137,286809.6,QUZARA LLC,0.168,End-user/help-desk IT support services labor,Information Technology & Software,services_labor,low,psc_carries,high
239,311611,Animal (except Poultry) Slaughtering,8905,"MEAT, POULTRY, AND FISH",131712995.31,45,1116284.4,OLGA H BARRIOS,0.067,Slaughtered/processed meat manufactured for food supply,"Food, Agriculture & Beverage",manufacture,medium,redundant,high
240,488111,Air Traffic Control,M1BA,OPERATION OF AIR TRAFFIC CONTROL TOWERS,131590047.3,22,1431438.06,MIDWEST AIR TRAFFIC CONTROL SERVICE INC,0.455,Contract air traffic control tower operation,Transportation & Logistics,services_labor,low,redundant,high
241,541611,Administrative Management and General Management Consulting Services,DA01,IT AND TELECOM - BUSINESS APPLICATION/APPLICATION DEVELOPMENT SUPPORT SERVICES (LABOR),131274391.57,53,1097280.0,DELOITTE CONSULTING LLP,0.396,Management consulting providing app-development support (Deloitte),Information Technology & Software,services_labor,low,psc_carries,medium
242,541512,Computer Systems Design Services,7A20,IT AND TELECOM - APPLICATION DEVELOPMENT SOFTWARE (PERPETUAL LICENSE SOFTWARE),130679269.09,99,124788.86,ACCENTURE FEDERAL SERVICES LLC,0.222,Application development software (perpetual license) resold,Information Technology & Software,distribute_resell,low,psc_carries,high
243,334111,Electronic Computer Manufacturing,7E20,"IT and Telecom - End User: Help Desk;Tier 1-2,Workspace,Print,Output,Productivity Tools (HW/Perp SW)",130297129.62,862,18400.95,"V3GATE, LLC",0.275,End-user computers/hardware supplied by computer OEM,Electronics & Instruments,distribute_resell,low,emergent,medium
244,315210,Cut and Sew Apparel Contractors,8415,"CLOTHING, SPECIAL PURPOSE",129077643.9,259,72150.0,"ATLANTIC DIVING SUPPLY, INC.",0.363,Special-purpose protective clothing manufactured/supplied,Industrial Manufacturing,manufacture,medium,redundant,medium
245,541519,Other Computer Related Services,D399,OTHER ADP & TELECOMMUNICATIONS SVCS,128839947.27,45,781361.0,"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.",0.4,Other ADP/telecom services (GDIT),Information Technology & Software,services_labor,low,psc_carries,medium
246,561210,Facilities Support Services,Z1AZ,MAINTENANCE OF OTHER ADMINISTRATIVE FACILITIES AND SERVICE BUILDINGS,126873430.69,268,44505.4,"EMCOR GOVERNMENT SERVICES, INC",0.239,Maintenance of administrative/service buildings,"Facilities, Maintenance & Janitorial",maintain_repair,medium,psc_carries,high
247,541511,Custom Computer Programming Services,R408,SUPPORT- PROFESSIONAL: PROGRAM MANAGEMENT/SUPPORT,126647001.5,108,463501.03,GOLDEN IT LLC,0.102,Software firms providing program management support,Information Technology & Software,services_labor,low,naics_carries,medium
248,541519,Other Computer Related Services,7B22,IT AND TELECOM - COMPUTE: SERVERS (HARDWARE AND PERPETUAL LICENSE SOFTWARE),126209761.41,258,79404.64,"FCN, INC.",0.081,Server compute hardware/software resold,Information Technology & Software,distribute_resell,low,psc_carries,high
249,561210,Facilities Support Services,S201,HOUSEKEEPING- CUSTODIAL JANITORIAL,125265422.37,220,100748.49,HAMHED LLC,0.118,Custodial/janitorial services by facilities contractor,"Facilities, Maintenance & Janitorial",services_labor,low,psc_carries,high
250,541519,Other Computer Related Services,DD01,"IT AND TELECOM - SERVICE DELIVERY SUPPORT SERVICES: ITSM, OPERATIONS CENTER, PROJECT/PM (LABOR)",125146766.23,160,198324.27,DELL FEDERAL SYSTEMS L.P,0.175,IT service delivery support (ITSM) via integrator (Dell),Information Technology & Software,services_labor,low,psc_carries,high
251,541513,Computer Facilities Management Services,DE10,"IT and Telecom - End User as a Service: Help Desk;Tier 1-2,Workspace,Print,Output,Productivity Tools",123800041.13,27,843000.0,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,0.556,End-user computing delivered as a service,Information Technology & Software,services_labor,low,psc_carries,high
252,541715,"Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology)",AJ13,GENERAL SCIENCE & TECHNOLOGY R&D SVCS; GENERAL SCIENCE & TECHNOLOGY; EXPERIMENTAL DEVELOPMENT,123733520.22,72,690451.53,"MODERN TECHNOLOGY SOLUTIONS, INC.",0.583,General science/technology experimental development R&D,Research & Development,RnD,low,redundant,high
253,811210,Electronic and Precision Equipment Repair and Maintenance,J065,"MAINT/REPAIR/REBUILD OF EQUIPMENT- MEDICAL, DENTAL, AND VETERINARY EQUIPMENT AND SUPPLIES",123186539.31,863,31257.0,PHILIPS NORTH AMERICA LLC,0.041,Medical/dental equipment maintenance and repair (Philips),Healthcare & Life Sciences,maintain_repair,medium,redundant,high
254,541211,Offices of Certified Public Accountants,R703,SUPPORT- MANAGEMENT: ACCOUNTING,121758295.19,33,1650000.0,KPMG LLP,0.545,Accounting/audit services (KPMG),Financial & Insurance,services_labor,low,redundant,high
255,423610,"Electrical Apparatus and Equipment, Wiring Supplies, and Related Equipment Merchant Wholesalers",5680,MISCELLANEOUS CONSTRUCTION MATERIALS,120521184.64,4043,1074.75,"ASRC FEDERAL FACILITIES LOGISTICS, LLC",0.433,Construction materials/electrical supplies wholesale,Wholesale & Supply,distribute_resell,medium,naics_carries,medium
256,722310,Food Service Contractors,S203,HOUSEKEEPING- FOOD,120512771.85,259,55649.55,"FAMILY AND SOCIAL SERVICES ADMINISTRATION, INDIANA",0.166,Contract food/dining services,"Food, Agriculture & Beverage",services_labor,low,redundant,high
257,541810,Advertising Agencies,R701,SUPPORT- MANAGEMENT: ADVERTISING,119852051.46,57,793619.68,CROSBY MARKETING COMMUNICATIONS INC.,0.228,Advertising/marketing campaign services,Media & Publishing,services_labor,low,redundant,high
258,334111,Electronic Computer Manufacturing,7B22,IT AND TELECOM - COMPUTE: SERVERS (HARDWARE AND PERPETUAL LICENSE SOFTWARE),119659825.44,379,50909.0,STERLING COMPUTERS CORPORATION,0.193,Server compute hardware supplied by computer OEM,Electronics & Instruments,distribute_resell,low,emergent,medium
259,511210,SOFTWARE PUBLISHERS,7A20,IT AND TELECOM - APPLICATION DEVELOPMENT SOFTWARE (PERPETUAL LICENSE SOFTWARE),119305365.43,173,86359.46,CARAHSOFT TECHNOLOGY CORP,0.468,Application development software (perpetual license) via reseller,Information Technology & Software,distribute_resell,low,redundant,high
260,423450,"Medical, Dental, and Hospital Equipment and Supplies Merchant Wholesalers",6640,LABORATORY EQUIPMENT AND SUPPLIES,117970520.89,32297,388.26,"HENRY SCHEIN, INC.",0.146,Laboratory equipment/supplies wholesale at catalog volume,Wholesale & Supply,distribute_resell,medium,naics_carries,high
261,517410,Satellite Telecommunications,DD01,"IT AND TELECOM - SERVICE DELIVERY SUPPORT SERVICES: ITSM, OPERATIONS CENTER, PROJECT/PM (LABOR)",117676808.84,35,494505.0,"GLOBAL ENTERPRISE SOLUTIONS, INC.",0.886,Satellite telecom firm providing IT service delivery support,Telecommunications,services_labor,low,naics_carries,medium
262,541990,"All Other Professional, Scientific, and Technical Services",C1BZ,ARCHITECT AND ENGINEERING- CONSTRUCTION: OTHER AIRFIELD STRUCTURES,117462091.58,15,7752944.37,PTSI MANAGED SERVICES INC,1.0,Architect-engineering airfield construction design,Engineering & Architecture,services_labor,low,psc_carries,medium
263,336414,Guided Missile and Space Vehicle Manufacturing,AR62,R&D- SPACE: STATION (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT),117236746.82,3,23230074.7,THE BOEING COMPANY,1.0,Space station applied research/development (Boeing),Aerospace & Defense,RnD,medium,emergent,high
264,517110,WIRED TELECOMMUNICATIONS CARRIERS,D304,IT AND TELECOM- TELECOMMUNICATIONS AND TRANSMISSION,116635950.36,41,508191.75,VERIZON BUSINESS NETWORK SERVICES LLC,0.293,Wired/wireless telecom transmission services (Verizon),Telecommunications,services_labor,low,redundant,high
265,541519,Other Computer Related Services,DE10,"IT and Telecom - End User as a Service: Help Desk;Tier 1-2,Workspace,Print,Output,Productivity Tools",115157656.12,133,89058.0,"FCN, INC.",0.165,End-user computing delivered as a service,Information Technology & Software,services_labor,low,psc_carries,high
266,541513,Computer Facilities Management Services,R408,SUPPORT- PROFESSIONAL: PROGRAM MANAGEMENT/SUPPORT,114759507.84,31,322031.78,"DIGNARI, LLC",0.548,Computer facilities mgmt providing program management support,Information Technology & Software,services_labor,low,naics_carries,medium
267,336999,All Other Transportation Equipment Manufacturing,2350,"COMBAT, ASSAULT, AND TACTICAL VEHICLES, TRACKED",113712343.2,4,22559643.52,BAE SYSTEMS LAND AND ARMAMENTS L.P.,1.0,Tracked combat vehicles manufactured by defense OEM (BAE),Aerospace & Defense,manufacture,high,emergent,high
268,511199,ALL OTHER PUBLISHERS,T099,PHOTO/MAP/PRINT/PUBLICATION- OTHER,113491409.81,2,56745704.91,REED TECHNOLOGY AND INFORMATION SERVICES LLC,1.0,Printing/publication data services (Reed Tech),Media & Publishing,services_labor,low,naics_carries,medium
269,541511,Custom Computer Programming Services,R425,SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL,113044478.92,76,441522.8,RIVA SOLUTIONS INC,0.132,Software firms providing engineering/technical support,Information Technology & Software,services_labor,low,naics_carries,medium
270,311999,All Other Miscellaneous Food Manufacturing,8905,"MEAT, POULTRY, AND FISH",111342436.89,4742,10820.47,US FOODS INC,0.461,Meat/poultry/fish foods supplied at high transaction volume,"Food, Agriculture & Beverage",distribute_resell,low,naics_carries,medium
271,541715,"Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology)",AR15,"SPACE R&D SVCS; SPACE FLIGHT, RESEARCH & SUPPORTING ACTIVITIES; R&D FACILITIES & MAJ EQUIP",111160871.06,9,6634317.7,"AMENTUM TECHNOLOGY, INC.",0.333,Space flight R&D facilities/major equipment,Research & Development,RnD,medium,redundant,high
272,541715,"Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology)",R499,SUPPORT- PROFESSIONAL: OTHER,108919766.83,103,368160.0,BOOZ ALLEN HAMILTON INC,0.107,R&D firms supplying other professional services (BAH),Research & Development,services_labor,low,naics_carries,medium
273,237990,Other Heavy and Civil Engineering Construction,Y1QA,CONSTRUCTION OF RESTORATION OF REAL PROPERTY (PUBLIC OR PRIVATE),108832380.46,26,864912.74,"INTERSTATE ROCK PRODUCTS, INC.",0.115,Restoration/reclamation construction of real property,Construction,construct,high,emergent,high
274,561730,Landscaping Services,S208,HOUSEKEEPING- LANDSCAPING/GROUNDSKEEPING,108460155.78,979,31390.0,BYRD ENTERPRISES UNLIMITED INC,0.033,Landscaping/groundskeeping maintenance services,"Facilities, Maintenance & Janitorial",services_labor,low,redundant,high
275,541611,Administrative Management and General Management Consulting Services,R799,SUPPORT- MANAGEMENT: OTHER,108456263.11,202,203526.5,ERNST & YOUNG LLP,0.109,Management consulting providing other management support (EY),Professional & Management Services,services_labor,low,naics_carries,medium
276,541720,Research and Development in the Social Sciences and Humanities,R499,SUPPORT- PROFESSIONAL: OTHER,106998655.37,30,847921.5,MATHEMATICA INC.,0.167,Social science research/policy evaluation (Mathematica),Research & Development,RnD,low,naics_carries,medium
277,561611,Investigation and Personal Background Check Services,R799,SUPPORT- MANAGEMENT: OTHER,105502524.96,26,3912656.72,"ADEPT SERVICES, INC",0.154,Background investigation/screening services,Security & Guard Services,services_labor,low,naics_carries,medium
278,541611,Administrative Management and General Management Consulting Services,R707,SUPPORT- MANAGEMENT: CONTRACT/PROCUREMENT/ACQUISITION SUPPORT,105363810.77,73,397056.6,"NAKUPUNA SOLUTIONS, LLC",0.274,Contract/procurement/acquisition support consulting,Professional & Management Services,services_labor,low,redundant,high
279,488190,Other Support Activities for Air Transportation,J016,MAINT/REPAIR/REBUILD OF EQUIPMENT- AIRCRAFT COMPONENTS AND ACCESSORIES,103870848.91,265,55375.0,"SAFRAN ELECTRONICS & DEFENSE, AVIONICS USA, LLC",0.208,Aircraft components/accessories MRO (Safran),Aerospace & Defense,maintain_repair,medium,redundant,high
